2022.05.23 11:02:00,,,
GOSHO,,,
T1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
4.01,-2.2542517316,-2.4680804815,-8.042506335
4.02,-2.2744674584,-2.4803516114,-8.026897395
4.03,-2.2804132604,-2.5187483727,-8.012068902
4.04,-2.2982506664,-2.5678328923,-7.9882652685
4.05,-2.316880846,-2.584854137,-7.9687540935
4.06,-2.3057820156,-2.5852499799,-7.951974483
4.07,-2.2819988076,-2.5832707654,-7.9328535315
4.08,-2.2788277132,-2.5666453636,-7.9320730845
4.09,-2.2835843548,-2.5444781612,-7.940267778
4.10,-2.275260232,-2.5290402881,-7.9617300705
4.11,-2.2661433356,-2.5211234301,-7.9921675035
4.12,-2.2621794676,-2.5258735449,-8.0163613605
4.13,-2.22967575,-2.5341862458,-8.0187027015
4.14,-2.182109334,-2.5440823183,-8.0069959965
4.15,-2.1559478052,-2.5618952488,-8.0101177845
4.16,-2.1420742672,-2.5761455932,-8.0265071715
4.17,-2.1151199648,-2.5678328923,-8.047189017
4.18,-2.11075971,-2.5476449044,-8.062797957
4.19,-2.12066938,-2.5349779316,-8.067480639
4.20,-2.1349393048,-2.541311418,-8.067480639
4.21,-2.162289994,-2.5555617624,-8.055773934
4.22,-2.1892442964,-2.5595201914,-8.033140971
4.23,-2.213820278,-2.5666453636,-8.00738622
4.24,-2.2439456748,-2.5828749225,-7.973826999
4.25,-2.267332496,-2.5983127956,-7.951194036
4.26,-2.2804132604,-2.5903959376,-7.973826999
4.27,-2.2887373832,-2.5583326627,-7.998801303
4.28,-2.2835843548,-2.5298319739,-7.9999719735
4.29,-2.291115704,-2.5365613032,-7.972266105
4.30,-2.3053856288,-2.549228276,-7.941828672
4.31,-2.2907193172,-2.5337904029,-7.9312926375
4.32,-2.2637650148,-2.5033104996,-7.922317497
4.33,-2.24949509,-2.4720389105,-7.9117814625
4.34,-2.2300721368,-2.4562051945,-7.914513027
4.35,-2.2011359004,-2.4589760948,-7.9234881675
4.36,-2.1872623624,-2.4625386809,-7.943389566
4.37,-2.2114419572,-2.470059696,-7.9796803515
4.38,-2.2439456748,-2.4866850978,-8.019873372
4.39,-2.2669361092,-2.5025188138,-8.0530423695
4.40,-2.287151836,-2.5100398289,-8.0600663925
4.41,-2.2927012512,-2.5183525298,-8.0530423695
4.42,-2.2748638452,-2.5227068017,-8.061237063
4.43,-2.2431529012,-2.5048938712,-8.0850406965
4.44,-2.2205588536,-2.4771848682,-8.10884433
4.45,-2.20985641,-2.4558093516,-8.1061127655
4.46,-2.2110455704,-2.4403714785,-8.084650473
4.47,-2.221748014,-2.442350693,-8.0631881805
4.48,-2.2201624668,-2.4562051945,-8.0538228165
4.49,-2.2035142212,-2.4605594664,-8.0748948855
4.50,-2.1904334568,-2.466101267,-8.100259413
4.51,-2.1844876548,-2.4787682398,-8.1053323185
4.52,-2.188055136,-2.4969770132,-8.089333155
4.53,-2.2062889288,-2.5207275872,-8.05421304
4.54,-2.2284865896,-2.5385405177,-8.044847676
4.55,-2.2538553448,-2.5436864754,-8.0483596875
4.56,-2.2661433356,-2.5326028742,-8.0530423695
4.57,-2.24949509,-2.5124148863,-8.0608468395
4.58,-2.2288829764,-2.4930185842,-8.0553837105
4.59,-2.2229371744,-2.4728305963,-8.0460183465
4.60,-2.2233335612,-2.4558093516,-8.043286782
4.61,-2.2249191084,-2.4451215933,-8.054993487
4.62,-2.2332432312,-2.4471008078,-8.0717730975
4.63,-2.2383962596,-2.4569968803,-8.08543092
4.64,-2.2261082688,-2.4752056537,-8.094796284
4.65,-2.1951900984,-2.5013312851,-8.108063883
4.66,-2.1607044468,-2.5231026446,-8.1146976825
4.67,-2.126615182,-2.5326028742,-8.113527012
4.68,-2.1091741628,-2.5286444452,-8.111966118
4.69,-2.1123452572,-2.5124148863,-8.1045518715
4.70,-2.1274079556,-2.4902476839,-8.0905038255
4.71,-2.1468309088,-2.4680804815,-8.0795775675
4.72,-2.1626863808,-2.4597677806,-8.072943768
4.73,-2.1634791544,-2.4653095812,-8.0585054985
4.74,-2.1468309088,-2.470059696,-8.044067229
4.75,-2.1361284652,-2.4791640827,-8.032360524
4.76,-2.1301826632,-2.4985603848,-8.01519069
4.77,-2.126615182,-2.5219151159,-8.0069959965
4.78,-2.142470654,-2.5432906325,-8.010508008
4.79,-2.1789382396,-2.5555617624,-8.0023133145
4.80,-2.2035142212,-2.541311418,-7.9984110795
4.81,-2.2241263348,-2.5064772428,-8.0069959965
4.82,-2.2467203824,-2.4815391401,-7.9999719735
4.83,-2.2490987032,-2.4847058833,-7.975387893
4.84,-2.2439456748,-2.5001437564,-7.9625105175
4.85,-2.243549288,-2.4961853274,-7.9757781165
4.86,-2.241567354,-2.4676846386,-7.994899068
4.87,-2.2407745804,-2.4249336054,-8.013629796
4.88,-2.2463239956,-2.3794116719,-8.0366529825
4.89,-2.2451348352,-2.3655571704,-8.0421161115
4.90,-2.2245227216,-2.3877243728,-8.019873372
4.91,-2.201928674,-2.4182042761,-8.005044879
4.92,-2.184091268,-2.4336421492,-8.005825326
4.93,-2.1607044468,-2.4439340646,-8.0132395725
4.94,-2.144452588,-2.4550176658,-8.028458289
4.95,-2.1408851068,-2.4455174362,-8.0405552175
4.96,-2.1389031728,-2.4241419196,-8.048749911
4.97,-2.1297862764,-2.4249336054,-8.050310805
4.98,-2.1317682104,-2.4478924936,-8.04640857
4.99,-2.1428670408,-2.470059696,-8.0452378995
5.00,-2.1531730976,-2.485893412,-8.041725888
5.01,-2.1718032772,-2.5029146567,-8.0436770055
5.02,-2.1991539664,-2.5310195026,-8.033921418
5.03,-2.2094600232,-2.5595201914,-8.0108982315
