2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
2.74,-0.3100859946,-2.5067021696,-6.8938382934
2.75,-0.3144929015,-2.506308096,-6.9034008942
2.76,-0.3104866225,-2.5074903168,-6.8966273853
2.77,-0.2988684134,-2.5153717888,-6.8910492015
2.78,-0.2812407858,-2.526011776,-6.8954320602
2.79,-0.260408135,-2.535863616,-6.908979078
2.80,-0.2327648099,-2.5488680448,-6.9165494703
2.81,-0.2039196011,-2.5689657984,-6.9109712865
2.82,-0.1951057873,-2.5886694784,-6.8966273853
2.83,-0.2075252522,-2.6044324224,-6.8798928339
2.84,-0.2187428334,-2.6182249984,-6.8806897173
2.85,-0.2235503682,-2.6229538816,-6.8978227104
2.86,-0.2335660657,-2.6174368512,-6.912963495
2.87,-0.2511936933,-2.604826496,-6.9026040108
2.88,-0.2796382742,-2.5965509504,-6.8739162084
2.89,-0.3176979247,-2.5914279936,-6.8535956817
2.90,-0.3529531799,-2.5815761536,-6.845228406
2.91,-0.3761895981,-2.5780294912,-6.829290738
2.92,-0.3950191094,-2.5815761536,-6.8161421619
2.93,-0.404634179,-2.5894576256,-6.8137515117
2.94,-0.3974228768,-2.6004916864,-6.8165406036
2.95,-0.3693789238,-2.6138901888,-6.8181343704
2.96,-0.324508599,-2.6280768384,-6.817337487
2.97,-0.2880514601,-2.632411648,-6.8169390453
2.98,-0.2680200651,-2.6253183232,-6.8145483951
2.99,-0.2451842748,-2.6138901888,-6.8237125542
3.00,-0.2223484845,-2.6004916864,-6.8436346392
3.01,-0.2099290196,-2.5768472704,-6.8627598408
3.02,-0.2071246243,-2.543745088,-6.8802912756
3.03,-0.2007145779,-2.5145836416,-6.8974242687
3.04,-0.1927020199,-2.50236736,-6.904994661
3.05,-0.1878944851,-2.504337728,-6.8990180355
3.06,-0.1902982525,-2.5137954944,-6.8902523181
3.07,-0.1979101826,-2.5224651136,-6.8739162084
3.08,-0.1999133221,-2.5228591872,-6.8476190562
3.09,-0.2027177174,-2.526011776,-6.8237125542
3.10,-0.2063233685,-2.5323169536,-6.805384236
3.11,-0.2039196011,-2.537833984,-6.7878528012
3.12,-0.2147365544,-2.537833984,-6.7846652676
3.13,-0.2311622983,-2.5334991744,-6.7938294267
3.14,-0.2367710889,-2.5307406592,-6.8017982607
3.15,-0.2427805074,-2.5307406592,-6.7978138437
3.16,-0.248389298,-2.5409865728,-6.7743057834
3.17,-0.2479886701,-2.5626606208,-6.7420320057
3.18,-0.2467867864,-2.5839405952,-6.7109535531
3.19,-0.2439823911,-2.602856128,-6.6942190017
3.20,-0.2355692052,-2.616648704,-6.7109535531
3.21,-0.224351624,-2.622559808,-6.7671338328
3.22,-0.2219478566,-2.6158605568,-6.8352673635
3.23,-0.220345345,-2.5937924352,-6.877103742
3.24,-0.2219478566,-2.5677835776,-6.8882601096
3.25,-0.2335660657,-2.5543850752,-6.8922445266
3.26,-0.2435817632,-2.5528087808,-6.908979078
3.27,-0.2431811353,-2.5539910016,-6.9388622055
3.28,-0.2319635541,-2.5591139584,-6.9579874071
3.29,-0.2255535077,-2.5642369152,-6.9516123399
3.30,-0.2295597867,-2.5650250624,-6.924916746
3.31,-0.2367710889,-2.5681776512,-6.8926429683
3.32,-0.2479886701,-2.5721183872,-6.8711271165
3.33,-0.2584049955,-2.5658132096,-6.8583769821
3.34,-0.2640137861,-2.5520206336,-6.8476190562
3.35,-0.2668181814,-2.5409865728,-6.8392517805
3.36,-0.2660169256,-2.5350754688,-6.8360642469
3.37,-0.2588056234,-2.5382280576,-6.8400486639
3.38,-0.248389298,-2.55162656,-6.8444315226
3.39,-0.2431811353,-2.5736946816,-6.8444315226
3.40,-0.2515943212,-2.5914279936,-6.841243989
3.41,-0.2632125303,-2.594974656,-6.8384548971
3.42,-0.276433251,-2.5882754048,-6.8396502222
3.43,-0.2904552275,-2.5697539456,-6.8352673635
3.44,-0.2940608786,-2.5465036032,-6.8348689218
3.45,-0.2928589949,-2.5275880704,-6.8448299643
3.46,-0.2872502043,-2.5197065984,-6.849212823
3.47,-0.2708244604,-2.5185243776,-6.849212823
3.48,-0.2507930654,-2.5118251264,-6.8539941234
3.49,-0.2299604146,-2.500396992,-6.8551894485
3.50,-0.2131340428,-2.4921214464,-6.8535956817
3.51,-0.2015158337,-2.48266368,-6.8520019149
3.52,-0.1967082989,-2.4720236928,-6.8472206145
3.53,-0.204320229,-2.464930368,-6.8245094376
3.54,-0.2211466008,-2.4724177664,-6.7954231935
3.55,-0.2399761121,-2.4960621824,-6.7762979919
3.56,-0.2584049955,-2.5232532608,-6.7635478575
3.57,-0.2740294836,-2.5449273088,-6.7511961648
3.58,-0.296464646,-2.5618724736,-6.741633564
3.59,-0.3213035758,-2.5721183872,-6.7460164227
3.60,-0.340533715,-2.573300608,-6.777493317
3.61,-0.3489469009,-2.5638428416,-6.833275155
3.62,-0.3397324592,-2.543745088,-6.9053931027
3.63,-0.3257104827,-2.5165540096,-6.9822923508
3.64,-0.3156947852,-2.4893629312,-7.0316991216
3.65,-0.3036759482,-2.470841472,-7.0424570475
3.66,-0.2944615065,-2.464930368,-7.0265193795
3.67,-0.2912564833,-2.476752576,-6.9850814427
3.68,-0.2944615065,-2.50236736,-6.9340809051
3.69,-0.2972659018,-2.5271939968,-6.9073853112
3.70,-0.2880514601,-2.5461095296,-6.9121666116
3.71,-0.2700232046,-2.5532028544,-6.9296980464
3.72,-0.2580043676,-2.5421687936,-6.9384637638
3.73,-0.2543987165,-2.5212828928,-6.9324871383
3.74,-0.2539980886,-2.504337728,-6.9173463537
3.75,-0.2531968328,-2.4936977408,-6.8958305019
3.76,-0.256401856,-2.488574784,-6.8667442578
3.77,-0.2624112745,-2.490545152,-6.8356658052
3.78,-0.2740294836,-2.5039436544,-6.8045873526
3.79,-0.2864489485,-2.5287702912,-6.761555649
