2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
3.07,-0.197910183,-2.522465114,-6.873916208
3.08,-0.199913322,-2.522859187,-6.847619056
3.09,-0.202717717,-2.526011776,-6.823712554
3.1,-0.206323369,-2.532316954,-6.805384236
3.11,-0.203919601,-2.537833984,-6.787852801
3.12,-0.214736554,-2.537833984,-6.784665268
3.13,-0.231162298,-2.533499174,-6.793829427
3.14,-0.236771089,-2.530740659,-6.801798261
3.15,-0.242780507,-2.530740659,-6.797813844
3.16,-0.248389298,-2.540986573,-6.774305783
3.17,-0.24798867,-2.562660621,-6.742032006
3.18,-0.246786786,-2.583940595,-6.710953553
3.19,-0.243982391,-2.602856128,-6.694219002
3.2,-0.235569205,-2.616648704,-6.710953553
3.21,-0.224351624,-2.622559808,-6.767133833
3.22,-0.221947857,-2.615860557,-6.835267364
3.23,-0.220345345,-2.593792435,-6.877103742
3.24,-0.221947857,-2.567783578,-6.88826011
3.25,-0.233566066,-2.554385075,-6.892244527
3.26,-0.243581763,-2.552808781,-6.908979078
3.27,-0.243181135,-2.553991002,-6.938862206
3.28,-0.231963554,-2.559113958,-6.957987407
3.29,-0.225553508,-2.564236915,-6.95161234
3.3,-0.229559787,-2.565025062,-6.924916746
3.31,-0.236771089,-2.568177651,-6.892642968
3.32,-0.24798867,-2.572118387,-6.871127117
3.33,-0.258404996,-2.56581321,-6.858376982
3.34,-0.264013786,-2.552020634,-6.847619056
3.35,-0.266818181,-2.540986573,-6.839251781
3.36,-0.266016926,-2.535075469,-6.836064247
3.37,-0.258805623,-2.538228058,-6.840048664
3.38,-0.248389298,-2.55162656,-6.844431523
3.39,-0.243181135,-2.573694682,-6.844431523
3.4,-0.251594321,-2.591427994,-6.841243989
3.41,-0.26321253,-2.594974656,-6.838454897
3.42,-0.276433251,-2.588275405,-6.839650222
3.43,-0.290455228,-2.569753946,-6.835267364
3.44,-0.294060879,-2.546503603,-6.834868922
3.45,-0.292858995,-2.52758807,-6.844829964
3.46,-0.287250204,-2.519706598,-6.849212823
3.47,-0.27082446,-2.518524378,-6.849212823
3.48,-0.250793065,-2.511825126,-6.853994123
3.49,-0.229960415,-2.500396992,-6.855189449
3.5,-0.213134043,-2.492121446,-6.853595682
3.51,-0.201515834,-2.48266368,-6.852001915
3.52,-0.196708299,-2.472023693,-6.847220615
3.53,-0.204320229,-2.464930368,-6.824509438
3.54,-0.221146601,-2.472417766,-6.795423194
3.55,-0.239976112,-2.496062182,-6.776297992
3.56,-0.258404996,-2.523253261,-6.763547858
3.57,-0.274029484,-2.544927309,-6.751196165
3.58,-0.296464646,-2.561872474,-6.741633564
3.59,-0.321303576,-2.572118387,-6.746016423
3.6,-0.340533715,-2.573300608,-6.777493317
3.61,-0.348946901,-2.563842842,-6.833275155
3.62,-0.339732459,-2.543745088,-6.905393103
3.63,-0.325710483,-2.51655401,-6.982292351
3.64,-0.315694785,-2.489362931,-7.031699122
3.65,-0.303675948,-2.470841472,-7.042457048
3.66,-0.294461507,-2.464930368,-7.02651938
3.67,-0.291256483,-2.476752576,-6.985081443
3.68,-0.294461507,-2.50236736,-6.934080905
3.69,-0.297265902,-2.527193997,-6.907385311
3.7,-0.28805146,-2.54610953,-6.912166612
3.71,-0.270023205,-2.553202854,-6.929698046
3.72,-0.258004368,-2.542168794,-6.938463764
3.73,-0.254398717,-2.521282893,-6.932487138
3.74,-0.253998089,-2.504337728,-6.917346354
3.75,-0.253196833,-2.493697741,-6.895830502
3.76,-0.256401856,-2.488574784,-6.866744258
3.77,-0.262411275,-2.490545152,-6.835665805
3.78,-0.274029484,-2.503943654,-6.804587353
3.79,-0.286448949,-2.528770291,-6.761555649
3.8,-0.290455228,-2.557931738,-6.720914596
3.81,-0.289253344,-2.580393933,-6.711351995
3.82,-0.283243925,-2.589851699,-6.71732862
3.83,-0.277635135,-2.585910963,-6.728484988
3.84,-0.275631995,-2.574482829,-6.747211748
3.85,-0.2728276,-2.56581321,-6.766735391
3.86,-0.263613158,-2.557537664,-6.790243451
3.87,-0.255199972,-2.548473971,-6.825704763
3.88,-0.245985531,-2.544533235,-6.853595682
3.89,-0.23276481,-2.543745088,-6.867939583
3.9,-0.220345345,-2.539410278,-6.871525558
3.91,-0.208326508,-2.535075469,-6.863556724
3.92,-0.205121485,-2.53743991,-6.856783215
3.93,-0.206323369,-2.540592499,-6.866345816
3.94,-0.20031395,-2.53625769,-6.89782271
3.95,-0.191900764,-2.52207104,-6.923322979
3.96,-0.196307671,-2.508278464,-6.928901163
3.97,-0.20992902,-2.502761434,-6.931690255
3.98,-0.220745973,-2.504337728,-6.936073114
3.99,-0.238373601,-2.508278464,-6.926112071
4,-0.259206251,-2.514583642,-6.897025827
4.01,-0.276433251,-2.531528806,-6.868338025
4.02,-0.30327532,-2.561084326,-6.845228406
4.03,-0.324508599,-2.59103392,-6.825306321
4.04,-0.326511739,-2.608373158,-6.806579561
4.05,-0.328915506,-2.6107376,-6.789048126
4.06,-0.332120529,-2.607190938,-6.772712017
4.07,-0.334524297,-2.603250202,-6.755579024
4.08,-0.326912366,-2.601673907,-6.751594607
4.09,-0.312089134,-2.600491686,-6.762750974
4.1,-0.305679088,-2.598915392,-6.785860593
4.11,-0.294060879,-2.598127245,-6.81096242
4.12,-0.274029484,-2.601279834,-6.821720346
4.13,-0.256001228,-2.611919821,-6.824907879
4.14,-0.245985531,-2.621771661,-6.82968918
4.15,-0.233165438,-2.617830925,-6.833673597
4.16,-0.21754095,-2.602462054,-6.844431523
4.17,-0.211130903,-2.59103392,-6.865150491
4.18,-0.208727136,-2.586305037,-6.880689717
4.19,-0.206723996,-2.583940595,-6.891447643
4.2,-0.211130903,-2.585122816,-6.889853876
4.21,-0.225954136,-2.587093184,-6.871127117
4.22,-0.252796205,-2.594974656,-6.845626848
4.23,-0.279638274,-2.608767232,-6.819728137
4.24,-0.29766653,-2.619407219,-6.792634102
4.25,-0.30527846,-2.623347955,-6.781477734
4.26,-0.308483483,-2.623347955,-6.791837218
4.27,-0.309685367,-2.622559808,-6.806978003
4.28,-0.311287878,-2.618224998,-6.806579561
4.29,-0.313291018,-2.60640279,-6.785860593
4.3,-0.31088725,-2.588669478,-6.761157207
4.31,-0.300871553,-2.569753946,-6.745617981
4.32,-0.291256483,-2.55596137,-6.737649147
4.33,-0.28043953,-2.543351014,-6.734860055
4.34,-0.270423833,-2.537045837,-6.734063172
4.35,-0.271225088,-2.546897677,-6.742430447
4.36,-0.282843297,-2.563842842,-6.763547858
4.37,-0.296464646,-2.572118387,-6.798610727
4.38,-0.31088725,-2.566601357,-6.837259572
4.39,-0.321303576,-2.5614784,-6.862759841
4.4,-0.321704204,-2.560690253,-6.871525558
4.41,-0.315694785,-2.555173222,-6.870728675
4.42,-0.300470925,-2.548473971,-6.881885042
4.43,-0.284045181,-2.542168794,-6.908979078
4.44,-0.274029484,-2.524829555,-6.920135446
4.45,-0.274830739,-2.502761434,-6.912963495
4.46,-0.282042042,-2.49251552,-6.899018036
4.47,-0.285247065,-2.499214771,-6.879892834
4.48,-0.278837018,-2.52207104,-6.877900625
4.49,-0.260007507,-2.546503603,-6.899814919
4.5,-0.241177996,-2.563448768,-6.91415882
4.51,-0.23276481,-2.574482829,-6.914557262
4.52,-0.24037674,-2.580788006,-6.904596219
4.53,-0.259206251,-2.582364301,-6.885869459
4.54,-0.272426972,-2.582364301,-6.868338025
4.55,-0.278837018,-2.579999859,-6.859173866
4.56,-0.287250204,-2.567389504,-6.863158283
4.57,-0.286048321,-2.548079898,-6.876306859
4.58,-0.282843297,-2.532711027,-6.878697509
4.59,-0.286048321,-2.523253261,-6.870330233
4.6,-0.288852716,-2.523253261,-6.869134908
4.61,-0.29566339,-2.529164365,-6.876306859
4.62,-0.294060879,-2.539410278,-6.885869459
4.63,-0.276032623,-2.552414707,-6.898221152
4.64,-0.252395577,-2.564630989,-6.913760378
4.65,-0.225954136,-2.570542093,-6.924119863
4.66,-0.206323369,-2.568965798,-6.92810428
